 location ,cause,year,death
Eastern Mediterranean Region,Ectopic pregnancy,1997,423.8052217
Eastern Mediterranean Region,Indirect maternal deaths,1997,2178.734018
Eastern Mediterranean Region,Late maternal deaths,1997,1059.509687
Eastern Mediterranean Region,Other maternal disorders,1997,2570.895826
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1997,12.87545466
South-East Asia Region,Maternal hemorrhage,1998,53500.03459
South-East Asia Region,Maternal sepsis and other maternal infections,1998,14298.03986
South-East Asia Region,Maternal hypertensive disorders,1998,16919.78025
South-East Asia Region,Maternal obstructed labor and uterine rupture,1998,3015.977475
South-East Asia Region,Ectopic pregnancy,1998,2319.126647
South-East Asia Region,Indirect maternal deaths,1998,10966.34669
South-East Asia Region,Late maternal deaths,1998,4325.455043
South-East Asia Region,Other maternal disorders,1998,12667.74893
Eastern Mediterranean Region,Maternal abortion and miscarriage,1998,5068.599634
European Region,Maternal abortion and miscarriage,1997,553.6583178
European Region,Maternal hemorrhage,1997,671.0883678
European Region,Maternal sepsis and other maternal infections,1997,270.1795519
European Region,Maternal hypertensive disorders,1997,545.5072616
European Region,Maternal obstructed labor and uterine rupture,1997,78.85373173
European Region,Ectopic pregnancy,1997,111.0531422
European Region,Indirect maternal deaths,1997,267.0985875
European Region,Late maternal deaths,1997,90.53363844
European Region,Other maternal disorders,1997,793.1025509
Region of the Americas,Maternal hypertensive disorders,1997,2798.383106
Region of the Americas,Maternal obstructed labor and uterine rupture,1997,145.5580812
Region of the Americas,Ectopic pregnancy,1997,194.106592
Region of the Americas,Indirect maternal deaths,1997,986.8158222
Region of the Americas,Late maternal deaths,1997,614.6279321
Region of the Americas,Other maternal disorders,1997,1372.817923
Region of the Americas,Maternal hemorrhage,1998,2463.41917
Region of the Americas,Maternal sepsis and other maternal infections,1998,1169.91598
Region of the Americas,Maternal hypertensive disorders,1998,2789.760225
Region of the Americas,Maternal obstructed labor and uterine rupture,1998,152.4002831
Region of the Americas,Ectopic pregnancy,1998,195.5560877
Region of the Americas,Indirect maternal deaths,1998,1057.397421
Region of the Americas,Late maternal deaths,1998,604.3262523
Region of the Americas,Other maternal disorders,1998,1412.157322
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1997,66.00078255
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1998,11.63402661
South-East Asia Region,Maternal abortion and miscarriage,1998,17584.22535
Western Pacific Region,Maternal abortion and miscarriage,1997,1888.578905
South-East Asia Region,Maternal abortion and miscarriage,1997,18285.42838
Eastern Mediterranean Region,Maternal hemorrhage,1998,9179.009511
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1998,4476.333696
Eastern Mediterranean Region,Maternal hypertensive disorders,1998,7482.168665
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1998,928.6153252
Eastern Mediterranean Region,Ectopic pregnancy,1998,434.6573645
Eastern Mediterranean Region,Indirect maternal deaths,1998,2203.325224
Eastern Mediterranean Region,Late maternal deaths,1998,1079.199623
Eastern Mediterranean Region,Other maternal disorders,1998,2608.462948
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1997,10.78435999
European Region,Maternal deaths aggravated by HIV/AIDS,1998,0.596602162
Region of the Americas,Maternal abortion and miscarriage,1997,2079.592469
Eastern Mediterranean Region,Maternal abortion and miscarriage,1997,5142.983104
European Region,Maternal deaths aggravated by HIV/AIDS,1997,0.536236815
African Region,Maternal hemorrhage,1997,15821.82897
African Region,Maternal sepsis and other maternal infections,1997,13678.63756
African Region,Maternal hypertensive disorders,1997,8297.981656
African Region,Maternal obstructed labor and uterine rupture,1997,2549.138586
African Region,Ectopic pregnancy,1997,2702.048378
African Region,Indirect maternal deaths,1997,3534.766543
African Region,Late maternal deaths,1997,4285.773811
African Region,Other maternal disorders,1997,8024.38266
South-East Asia Region,Indirect maternal deaths,1997,11324.7554
South-East Asia Region,Late maternal deaths,1997,4346.409725
South-East Asia Region,Other maternal disorders,1997,12166.19839
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1998,14.94695691
African Region,Maternal deaths aggravated by HIV/AIDS,1997,1607.794534
African Region,Maternal hemorrhage,1998,16111.71862
African Region,Maternal sepsis and other maternal infections,1998,14069.04431
African Region,Maternal hypertensive disorders,1998,8573.428098
African Region,Maternal obstructed labor and uterine rupture,1998,2614.700859
African Region,Ectopic pregnancy,1998,2810.16128
African Region,Indirect maternal deaths,1998,3645.766471
African Region,Late maternal deaths,1998,4464.460625
African Region,Other maternal disorders,1998,8299.102194
Western Pacific Region,Maternal abortion and miscarriage,1998,1768.332233
African Region,Maternal deaths aggravated by HIV/AIDS,1999,1777.669692
African Region,Maternal hemorrhage,1999,16368.25137
African Region,Maternal sepsis and other maternal infections,1999,14384.40017
African Region,Maternal hypertensive disorders,1999,8834.669365
African Region,Maternal obstructed labor and uterine rupture,1999,2669.229565
African Region,Ectopic pregnancy,1999,2919.478033
African Region,Indirect maternal deaths,1999,3786.950028
African Region,Late maternal deaths,1999,4654.31406
African Region,Other maternal disorders,1999,8566.900272
African Region,Maternal abortion and miscarriage,1999,23063.22787
African Region,Maternal hemorrhage,2000,16523.38626
African Region,Maternal sepsis and other maternal infections,2000,14667.14757
African Region,Maternal hypertensive disorders,2000,9090.300785
African Region,Maternal obstructed labor and uterine rupture,2000,2709.681696
African Region,Ectopic pregnancy,2000,3020.204253
African Region,Indirect maternal deaths,2000,3970.92482
African Region,Late maternal deaths,2000,4814.764433
African Region,Other maternal disorders,2000,8811.119693
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1999,28.97955885
African Region,Maternal deaths aggravated by HIV/AIDS,2000,1842.562899
South-East Asia Region,Maternal hemorrhage,1999,53181.68663
South-East Asia Region,Maternal sepsis and other maternal infections,1999,13857.69883
South-East Asia Region,Maternal hypertensive disorders,1999,16590.48269
South-East Asia Region,Maternal obstructed labor and uterine rupture,1999,2882.931442
South-East Asia Region,Ectopic pregnancy,1999,2364.288631
Region of the Americas,Maternal abortion and miscarriage,1999,1852.834489
South-East Asia Region,Indirect maternal deaths,1999,10734.00745
South-East Asia Region,Late maternal deaths,1999,4310.759476
South-East Asia Region,Other maternal disorders,1999,13276.28429
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1999,91.04230436
Region of the Americas,Maternal abortion and miscarriage,2000,1747.015409
European Region,Maternal deaths aggravated by HIV/AIDS,1999,0.632525089
European Region,Maternal abortion and miscarriage,1999,457.5105462
Region of the Americas,Maternal hemorrhage,2000,2269.976327
Region of the Americas,Maternal sepsis and other maternal infections,2000,1052.757264
Region of the Americas,Maternal hypertensive disorders,2000,2616.212584
Region of the Americas,Maternal obstructed labor and uterine rupture,2000,149.1693487
Region of the Americas,Ectopic pregnancy,2000,200.4290847
Region of the Americas,Indirect maternal deaths,2000,1126.520835
Region of the Americas,Late maternal deaths,2000,588.2373688
Region of the Americas,Other maternal disorders,2000,1458.120325
European Region,Maternal hemorrhage,2000,558.9366065
European Region,Maternal sepsis and other maternal infections,2000,229.6733105
European Region,Maternal hypertensive disorders,2000,483.7628087
European Region,Maternal obstructed labor and uterine rupture,2000,77.31758452
European Region,Ectopic pregnancy,2000,89.29207503
European Region,Indirect maternal deaths,2000,240.4286107
European Region,Late maternal deaths,2000,89.9942863
European Region,Other maternal disorders,2000,749.2496724
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2000,97.0825822
Region of the Americas,Maternal hemorrhage,1999,2386.287638
Region of the Americas,Maternal sepsis and other maternal infections,1999,1114.046839
Region of the Americas,Maternal hypertensive disorders,1999,2734.79022
Region of the Americas,Maternal obstructed labor and uterine rupture,1999,152.4482268
Region of the Americas,Ectopic pregnancy,1999,201.2864855
Region of the Americas,Indirect maternal deaths,1999,1117.683532
Region of the Americas,Late maternal deaths,1999,595.2054834
Region of the Americas,Other maternal disorders,1999,1466.905469
Western Pacific Region,Maternal hemorrhage,1999,6459.816156
Western Pacific Region,Maternal sepsis and other maternal infections,1999,1284.652806
Western Pacific Region,Maternal hypertensive disorders,1999,2562.768341
Western Pacific Region,Maternal obstructed labor and uterine rupture,1999,764.3747057
Western Pacific Region,Ectopic pregnancy,1999,459.6470581
Western Pacific Region,Indirect maternal deaths,1999,3617.693557
Western Pacific Region,Late maternal deaths,1999,177.1178782
Western Pacific Region,Other maternal disorders,1999,2483.631195
European Region,Maternal deaths aggravated by HIV/AIDS,2000,0.678671062
Western Pacific Region,Maternal abortion and miscarriage,2000,1541.114613
Eastern Mediterranean Region,Maternal abortion and miscarriage,2000,4958.752645
European Region,Maternal hemorrhage,1999,620.6334914
European Region,Maternal sepsis and other maternal infections,1999,249.8499
European Region,Maternal hypertensive disorders,1999,516.8668149
European Region,Maternal obstructed labor and uterine rupture,1999,85.11939532
European Region,Ectopic pregnancy,1999,98.85863767
European Region,Indirect maternal deaths,1999,253.9527825
European Region,Late maternal deaths,1999,90.16182479
European Region,Other maternal disorders,1999,751.6542611
Western Pacific Region,Maternal abortion and miscarriage,1999,1666.256026
South-East Asia Region,Maternal abortion and miscarriage,1999,16696.30006
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2000,12.41935193
South-East Asia Region,Maternal abortion and miscarriage,2000,15707.94233
Eastern Mediterranean Region,Maternal hemorrhage,1999,9150.942003
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1999,4411.993664
Eastern Mediterranean Region,Maternal hypertensive disorders,1999,7544.759707
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1999,938.3410855
Eastern Mediterranean Region,Ectopic pregnancy,1999,448.0969977
Eastern Mediterranean Region,Indirect maternal deaths,1999,2229.092904
Eastern Mediterranean Region,Late maternal deaths,1999,1103.484251
Eastern Mediterranean Region,Other maternal disorders,1999,2644.832243
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1999,16.82029321
Eastern Mediterranean Region,Maternal hemorrhage,2000,9163.518302
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2000,4373.517986
Eastern Mediterranean Region,Maternal hypertensive disorders,2000,7701.270011
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2000,953.0679956
Eastern Mediterranean Region,Ectopic pregnancy,2000,468.3382599
Eastern Mediterranean Region,Indirect maternal deaths,2000,2265.986048
Eastern Mediterranean Region,Late maternal deaths,2000,1133.283891
Eastern Mediterranean Region,Other maternal disorders,2000,2691.144841
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2000,18.4985117
Eastern Mediterranean Region,Maternal abortion and miscarriage,1999,5019.944211
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1999,12.29901515
African Region,Maternal abortion and miscarriage,2000,23050.31921
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2000,29.26681051
